题号,本题所用时长,本题所用token数,累计时长,累计使用token数
725,39.047,2333,30324.8202,1990047
726,38.598,1869,30363.4183,1991916
727,38.5995,2184,30402.0179,1994100
728,43.5309,2530,30445.5488,1996630
729,38.3764,1912,30483.9254,1998542
730,39.5061,2228,30523.4316,2000770
731,38.2022,1816,30561.6343,2002586
732,42.6703,2202,30604.3047,2004788
733,40.5133,2039,30644.8185,2006827
734,39.2265,1952,30684.0451,2008779
735,130.3273,8042,30814.3724,2016821
736,38.509,1975,30852.8815,2018796
737,37.8772,1886,30890.7588,2020682
738,38.0443,2101,30928.8031,2022783
739,106.6315,5883,31035.4347,2028666
740,38.7734,1988,31074.2082,2030654
741,37.9627,1978,31112.1711,2032632
742,37.2289,1912,31149.4,2034544
743,40.1615,2039,31189.5616,2036583
744,139.0612,8374,31328.6229,2044957
745,107.759,5924,31436.382,2050881
746,39.6936,2120,31476.0757,2053001
747,38.0513,2225,31514.1271,2055226
748,39.2665,2062,31553.3937,2057288
749,40.8327,1834,31594.2266,2059122
750,97.4091,6621,31691.6358,2065743
751,42.1042,2448,31733.7401,2068191
752,40.1408,2286,31773.881,2070477
753,38.633,1846,31812.5141,2072323
754,38.3174,2081,31850.8316,2074404
755,116.8762,12947,31967.7079,2087351
756,39.5245,1952,32007.2325,2089303
757,36.9911,1958,32044.2247,2091261
758,37.6168,2190,32081.8417,2093451
759,38.0632,1666,32119.9049,2095117
760,38.1583,1818,32158.0642,2096935
761,38.5479,2103,32196.6122,2099038
762,117.7986,6556,32314.4109,2105594
763,36.9766,1844,32351.3876,2107438
764,39.3179,2009,32390.7307,2109447
765,38.2541,2094,32428.9849,2111541
766,38.5999,1781,32467.5849,2113322
767,38.4128,1858,32505.9978,2115180
768,37.2661,1792,32543.264,2116972
769,97.6491,7212,32640.9133,2124184
770,107.074,8157,32747.9874,2132341
771,39.0753,2134,32787.0628,2134475
772,37.4713,2011,32824.5342,2136486
773,37.7112,2227,32862.2456,2138713
774,38.1295,2020,32900.3752,2140733
775,41.0072,2104,32941.3824,2142837
776,42.3819,1986,32983.7644,2144823
777,39.2958,1771,33023.0603,2146594
778,37.8388,2374,33060.8994,2148968
779,37.6429,2121,33098.5423,2151089
780,39.5396,2276,33138.082,2153365
781,41.3766,2291,33179.4587,2155656
782,37.0712,1791,33216.53,2157447
783,160.901,10374,33377.4311,2167821
784,38.3151,2469,33415.7463,2170290
785,38.0932,2116,33453.8396,2172406
786,40.6585,2282,33494.4982,2174688
787,39.3179,1928,33533.8162,2176616
788,122.1547,7312,33655.971,2183928
789,37.4012,1871,33693.3723,2185799
790,41.3319,2044,33734.7044,2187843
791,42.3157,2218,33777.0203,2190061
792,41.9332,1881,33818.9536,2191942
793,42.031,1835,33860.9846,2193777
794,39.3739,2112,33900.3586,2195889
795,41.0213,1894,33941.38,2197783
796,40.1164,1940,33981.4965,2199723
797,197.8309,18454,34179.3275,2218177
798,38.8546,1812,34218.1822,2219989
799,40.2813,2554,34258.4637,2222543
800,38.4637,1809,34296.9274,2224352
801,38.8689,1933,34335.7965,2226285
802,40.8756,2085,34376.6722,2228370
803,39.1251,2224,34415.7974,2230594
804,38.9582,2047,34454.7558,2232641
805,44.1327,2083,34498.8886,2234724
806,37.8334,1811,34536.722,2236535
807,38.3499,2362,34575.072,2238897
808,39.0521,2045,34614.1242,2240942
809,38.972,2063,34653.0963,2243005
810,100.1686,7491,34753.265,2250496
811,40.535,2336,34793.8001,2252832
812,41.0658,2179,34834.866,2255011
813,40.0812,2923,34874.9473,2257934
814,36.7067,2216,34911.654,2260150
815,126.7241,10681,35038.3783,2270831
816,40.5663,2217,35078.9446,2273048
817,36.3841,1810,35115.3289,2274858
818,38.8784,1733,35154.2074,2276591
819,39.2233,2216,35193.4307,2278807
820,35.4802,1825,35228.911,2280632
821,41.3195,2165,35270.2306,2282797
822,36.0209,1999,35306.2516,2284796
823,35.8466,1887,35342.0983,2286683
824,93.0647,7503,35435.1631,2294186
825,36.8003,1960,35471.9636,2296146
826,39.3184,2159,35511.2821,2298305
827,38.5966,2111,35549.8788,2300416
828,42.7123,2552,35592.5912,2302968
829,39.5697,1881,35632.1611,2304849
830,122.6997,8957,35754.8608,2313806
831,38.258,2341,35793.1189,2316147
832,54.5175,2620,35847.6365,2318767
833,40.0138,2054,35887.6504,2320821
834,41.4952,2101,35929.1457,2322922
835,36.4805,1902,35965.6263,2324824
836,100.3492,7989,36065.9757,2332813
837,36.0877,1981,36102.0635,2334794
838,39.0129,2319,36141.0764,2337113
839,38.3404,1972,36179.4169,2339085
840,39.9369,1853,36219.3539,2340938
841,37.8434,2063,36257.1974,2343001
842,39.5096,1871,36296.7071,2344872
843,38.1889,1737,36334.8961,2346609
844,35.9997,1961,36370.8959,2348570
845,37.7858,2239,36408.6818,2350809
846,51.6998,2005,36460.3818,2352814
847,38.0594,2142,36498.4413,2354956
848,38.2863,1900,36536.7278,2356856
849,124.9343,8088,36661.6622,2364944
850,37.85,1787,36699.5123,2366731
851,36.5594,1985,36736.0718,2368716
852,36.5228,1829,36772.5947,2370545
853,37.7785,2011,36810.3733,2372556
854,38.4485,1799,36848.822,2374355
855,38.4893,2163,36887.3113,2376518
856,38.8407,2200,36926.1521,2378718
857,37.343,2055,36963.4952,2380773
858,41.15,2123,37004.6453,2382896
859,37.9252,2182,37042.5707,2385078
860,40.3235,2105,37082.8943,2387183
861,37.7964,1822,37120.6908,2389005
862,36.9527,2100,37157.6437,2391105
863,36.9733,2122,37194.617,2393227
864,106.0,5848,37300.6171,2399075
865,36.5178,1949,37337.1351,2401024
866,37.639,2148,37374.7741,2403172
867,102.0797,6301,37476.8539,2409473
868,50.4271,1887,37527.2812,2411360
869,38.4077,2068,37565.689,2413428
870,35.5901,1729,37601.2793,2415157
871,43.416,2015,37644.6954,2417172
872,36.3382,2154,37681.0337,2419326
873,39.5426,1996,37720.5764,2421322
874,38.7865,1908,37759.363,2423230
875,41.3548,1719,37800.7179,2424949
876,36.7213,1839,37837.4393,2426788
877,40.7979,2477,37878.2373,2429265
878,37.8529,2004,37916.0903,2431269
879,704.0548,5620,38620.1452,2436889
880,36.5826,1928,38656.7278,2438817
881,114.9158,7460,38771.6438,2446277
882,35.544,1880,38807.1878,2448157
883,37.7635,2676,38844.9514,2450833
884,41.8176,1925,38886.7691,2452758
885,41.8176,2004,38928.5868,2454762
886,35.8518,1842,38964.4386,2456604
887,37.1238,1978,39001.5625,2458582
888,37.3742,1860,39038.9368,2460442
889,38.5375,1748,39077.4744,2462190
890,36.1065,1819,39113.581,2464009
891,38.6259,1948,39152.2069,2465957
892,38.7259,1989,39190.9329,2467946
893,36.5843,2022,39227.5173,2469968
894,36.4215,1836,39263.939,2471804
895,404.4293,17788,39668.3684,2489592
896,40.0938,1881,39708.4622,2491473
897,36.5203,1896,39744.9826,2493369
898,36.7644,1919,39781.7472,2495288
899,41.8207,2176,39823.5679,2497464
900,36.7692,1824,39860.3372,2499288
901,36.7755,2038,39897.1128,2501326
902,120.6039,9084,40017.7168,2510410
903,33.4625,1830,40051.1794,2512240
904,37.3443,2099,40088.5238,2514339
905,36.9193,1783,40125.4433,2516122
906,51.4796,1955,40176.923,2518077
907,39.3664,2054,40216.2895,2520131
908,38.4151,1775,40254.7048,2521906
909,36.2892,1842,40290.994,2523748
910,105.8946,6798,40396.8887,2530546
911,36.7931,1733,40433.6819,2532279
912,112.2803,7156,40545.9623,2539435
913,37.0753,1859,40583.0376,2541294
914,37.3365,2085,40620.3742,2543379
915,37.7457,1787,40658.1201,2545166
916,36.5827,1894,40694.7029,2547060
917,39.5251,2346,40734.2281,2549406
918,37.2705,1732,40771.4987,2551138
919,39.5034,1858,40811.0021,2552996
920,15.3808,382,40826.383,2553378
921,36.9188,2274,40863.3019,2555652
922,36.3257,1838,40899.6277,2557490
923,37.0345,1883,40936.6623,2559373
924,40.7316,2363,40977.394,2561736
925,38.1928,2114,41015.587,2563850
926,34.2989,2092,41049.8859,2565942
927,80.2646,10625,41130.1506,2576567
928,27.5468,2076,41157.6976,2578643
929,25.9892,2182,41183.6868,2580825
930,26.2799,1793,41209.9668,2582618
931,27.6662,2044,41237.6331,2584662
932,103.405,9849,41341.0383,2594511
933,26.1534,2104,41367.1918,2596615
934,26.397,2015,41393.5889,2598630
935,25.4212,1956,41419.0102,2600586
936,26.3399,2269,41445.3503,2602855
937,27.1669,2380,41472.5173,2605235
938,25.2199,2023,41497.7373,2607258
939,84.3079,8831,41582.0452,2616089
940,25.1857,2007,41607.231,2618096
941,25.3744,1843,41632.6055,2619939
942,87.8104,8316,41720.416,2628255
943,26.75,1920,41747.166,2630175
944,30.9521,2451,41778.1182,2632626
945,90.9321,7999,41869.0504,2640625
946,30.2456,2351,41899.2962,2642976
947,31.3311,1894,41930.6274,2644870
948,26.8699,1841,41957.4973,2646711
949,28.0588,2040,41985.5561,2648751
950,28.1933,1733,42013.7496,2650484
951,104.4801,9512,42118.2298,2659996
952,106.2997,9495,42224.5295,2669491
953,77.9225,7502,42302.4521,2676993
954,66.4876,6657,42368.9398,2683650
955,29.6778,2066,42398.6177,2685716
956,28.6039,2158,42427.2218,2687874
957,27.6586,2029,42454.8805,2689903
958,56.6384,4203,42511.5189,2694106
959,26.4828,1956,42538.0018,2696062
960,25.5056,2170,42563.5075,2698232
961,33.5466,2602,42597.0542,2700834
962,37.6481,2165,42634.7024,2702999
963,105.8936,6546,42740.5961,2709545
964,40.0737,2244,42780.6699,2711789
965,39.4321,1864,42820.1021,2713653
966,36.1439,2431,42856.2461,2716084
967,115.6851,9706,42971.9313,2725790
968,36.2668,1957,43008.1982,2727747
969,36.3006,2328,43044.4989,2730075
970,36.6544,1985,43081.1535,2732060
971,35.7812,1740,43116.9348,2733800
972,36.4477,1993,43153.3826,2735793
973,40.9393,2448,43194.322,2738241
974,121.7364,8178,43316.0585,2746419
975,34.2442,1936,43350.3028,2748355
976,35.7432,1875,43386.0461,2750230
977,35.9469,2275,43421.9931,2752505
978,42.4298,2005,43464.423,2754510
979,40.5314,1854,43504.9545,2756364
980,39.8055,2252,43544.7602,2758616
981,37.3157,1925,43582.0759,2760541
982,36.226,2021,43618.302,2762562
983,40.5326,2122,43658.8347,2764684
984,35.1384,1773,43693.9732,2766457
985,103.8148,9147,43797.7881,2775604
986,35.5345,1767,43833.3227,2777371
987,42.1119,2440,43875.4348,2779811
988,36.9835,2039,43912.4183,2781850
989,36.4528,2019,43948.8713,2783869
990,39.0436,1977,43987.915,2785846
991,39.1397,2456,44027.0548,2788302
992,38.9948,2151,44066.0497,2790453
993,35.623,2129,44101.6728,2792582
994,36.2208,2282,44137.8937,2794864
995,122.1467,8892,44260.0405,2803756
996,36.7276,1819,44296.7682,2805575
997,36.18,2263,44332.9483,2807838
998,127.4756,7754,44460.424,2815592
999,40.472,2031,44500.8966,2817623
1000,132.7177,8609,44633.6145,2826232
