题号,本题所用时长,本题所用token数,累计时长,累计使用token数
787,11.2804,149,10347.5457,116175
788,11.9066,81,10359.4524,116256
789,11.8254,166,10371.2779,116422
790,10.9539,188,10382.2319,116610
791,11.7425,127,10393.9744,116737
792,10.8877,189,10404.8622,116926
793,11.06,117,10415.9223,117043
794,11.6054,128,10427.5278,117171
795,11.493,135,10439.0209,117306
796,11.7908,177,10450.8117,117483
797,11.581,155,10462.3928,117638
798,10.7634,169,10473.1564,117807
799,11.3727,120,10484.5292,117927
800,11.3474,90,10495.8767,118017
801,11.7657,128,10507.6425,118145
802,10.8158,162,10518.4583,118307
803,12.1364,158,10530.5948,118465
804,10.9145,114,10541.5095,118579
805,12.3935,181,10553.9031,118760
806,11.6226,153,10565.5258,118913
807,11.0441,142,10576.57,119055
808,10.5741,162,10587.1443,119217
809,12.0521,209,10599.1964,119426
810,11.2502,117,10610.4468,119543
811,11.4132,192,10621.86,119735
812,13.2558,140,10635.1159,119875
813,14.8266,159,10649.9426,120034
814,11.1046,193,10661.0473,120227
815,10.942,194,10671.9894,120421
816,11.5611,189,10683.5506,120610
817,11.1871,98,10694.7377,120708
818,11.7125,133,10706.4503,120841
819,11.6124,191,10718.0628,121032
820,12.5453,190,10730.6082,121222
821,11.9487,132,10742.557,121354
822,11.7149,199,10754.2721,121553
823,11.1111,93,10765.3832,121646
824,10.7133,154,10776.0966,121800
825,11.791,99,10787.8877,121899
826,10.8164,144,10798.7042,122043
827,10.8522,113,10809.5565,122156
828,11.3955,144,10820.952,122300
829,11.0731,146,10832.0253,122446
830,11.399,132,10843.4244,122578
831,12.1104,127,10855.5348,122705
832,11.1859,121,10866.7208,122826
833,10.7877,82,10877.5086,122908
834,13.0838,211,10890.5925,123119
835,12.1636,131,10902.7563,123250
836,11.4794,201,10914.2358,123451
837,12.6889,132,10926.9248,123583
838,12.1815,199,10939.1064,123782
839,11.9321,164,10951.0386,123946
840,11.3702,127,10962.4088,124073
841,11.2034,149,10973.6123,124222
842,13.0495,130,10986.662,124352
843,11.4689,169,10998.131,124521
844,11.3953,148,11009.5264,124669
845,11.3419,131,11020.8683,124800
846,11.9182,99,11032.7867,124899
847,12.4384,235,11045.2252,125134
848,11.6803,244,11056.9056,125378
849,10.7611,130,11067.6668,125508
850,11.9223,121,11079.5891,125629
851,11.2485,110,11090.8377,125739
852,11.6192,165,11102.4571,125904
853,11.5362,110,11113.9933,126014
854,10.9468,130,11124.9402,126144
855,12.0601,103,11137.0003,126247
856,11.5101,200,11148.5105,126447
857,11.7682,88,11160.2787,126535
858,12.021,90,11172.2998,126625
859,11.0069,81,11183.3068,126706
860,12.0213,199,11195.3282,126905
861,11.6089,109,11206.9372,127014
862,11.293,140,11218.2303,127154
863,13.1783,78,11231.4087,127232
864,11.6953,191,11243.1041,127423
865,11.3646,146,11254.4687,127569
866,11.2169,159,11265.6857,127728
867,11.6347,125,11277.3205,127853
868,11.5366,93,11288.8571,127946
869,12.2412,153,11301.0984,128099
870,11.929,117,11313.0274,128216
871,14.9372,334,11327.9648,128550
872,11.7234,189,11339.6883,128739
873,12.1436,263,11351.832,129002
874,10.6377,167,11362.4698,129169
875,12.1207,139,11374.5906,129308
876,11.0821,124,11385.6727,129432
877,11.932,180,11397.6048,129612
878,10.961,134,11408.5659,129746
879,11.6548,169,11420.2208,129915
880,12.8567,130,11433.0776,130045
881,12.2847,132,11445.3624,130177
882,11.1537,191,11456.5162,130368
883,12.1584,153,11468.6747,130521
884,11.3992,79,11480.074,130600
885,11.5358,96,11491.6098,130696
886,11.2452,119,11502.8551,130815
887,12.0078,138,11514.863,130953
888,11.9755,103,11526.8386,131056
889,10.5858,199,11537.4244,131255
890,12.0787,153,11549.5032,131408
891,14.156,114,11563.6592,131522
892,10.167,97,11573.8263,131619
893,12.2953,157,11586.1216,131776
894,11.5379,144,11597.6595,131920
895,11.3438,108,11609.0034,132028
896,11.3596,172,11620.3631,132200
897,13.0564,118,11633.4196,132318
898,11.7035,131,11645.1232,132449
899,11.0719,209,11656.1952,132658
900,12.7502,206,11668.9455,132864
901,10.6289,94,11679.5744,132958
902,11.2223,125,11690.7968,133083
903,11.7172,122,11702.514,133205
904,11.7514,151,11714.2655,133356
905,11.0331,179,11725.2987,133535
906,11.1055,150,11736.4043,133685
907,11.5484,101,11747.9528,133786
908,13.2198,178,11761.1728,133964
909,11.816,131,11772.9889,134095
910,11.8379,275,11784.8268,134370
911,11.9443,258,11796.7712,134628
912,12.8813,174,11809.6526,134802
913,12.1873,218,11821.84,135020
914,10.994,96,11832.8341,135116
915,11.6226,136,11844.4568,135252
916,11.7345,116,11856.1913,135368
917,11.0412,182,11867.2326,135550
918,10.681,109,11877.9137,135659
919,12.2166,130,11890.1304,135789
920,26.8629,195,11916.9934,135984
921,11.8419,221,11928.8354,136205
922,11.9901,210,11940.8256,136415
923,10.8367,148,11951.6623,136563
924,11.6316,66,11963.294,136629
925,11.1842,149,11974.4783,136778
926,11.7578,215,11986.2362,136993
927,19.3383,531,12005.5746,137524
928,10.9175,100,12016.4922,137624
929,11.614,111,12028.1063,137735
930,11.8946,160,12040.001,137895
931,11.554,146,12051.5552,138041
932,11.3944,223,12062.9497,138264
933,11.6057,189,12074.5555,138453
934,10.8199,178,12085.3756,138631
935,11.2264,117,12096.6021,138748
936,11.4541,155,12108.0562,138903
937,11.9499,154,12120.0062,139057
938,10.6491,108,12130.6554,139165
939,12.5911,160,12143.2466,139325
940,12.9162,150,12156.1629,139475
941,10.9765,77,12167.1395,139552
942,12.0429,88,12179.1825,139640
943,11.6722,182,12190.8548,139822
944,10.8463,129,12201.7012,139951
945,12.0345,108,12213.7358,140059
946,10.6025,78,12224.3384,140137
947,11.9731,133,12236.3117,140270
948,11.0566,158,12247.3683,140428
949,12.2379,217,12259.6064,140645
950,10.8986,170,12270.5051,140815
951,11.2702,160,12281.7754,140975
952,12.0528,162,12293.8283,141137
953,11.6025,68,12305.4309,141205
954,11.3986,134,12316.8296,141339
955,11.1918,193,12328.0215,141532
956,12.5429,142,12340.5645,141674
957,10.9001,147,12351.4647,141821
958,11.6398,175,12363.1046,141996
959,11.2175,113,12374.3223,142109
960,11.915,123,12386.2373,142232
961,10.9824,106,12397.2197,142338
962,11.8306,112,12409.0505,142450
963,11.6149,187,12420.6655,142637
964,12.2979,124,12432.9634,142761
965,11.4077,144,12444.3712,142905
966,11.1018,110,12455.4732,143015
967,10.6701,152,12466.1434,143167
968,12.3028,105,12478.4462,143272
969,12.0492,188,12490.4955,143460
970,11.7379,176,12502.2335,143636
971,12.3469,107,12514.5805,143743
972,11.336,106,12525.9166,143849
973,11.2758,125,12537.1925,143974
974,11.3603,100,12548.5529,144074
975,11.4504,193,12560.0034,144267
976,12.2893,114,12572.2928,144381
977,11.2189,108,12583.5117,144489
978,12.2683,111,12595.7802,144600
979,11.354,290,12607.1343,144890
980,11.5853,136,12618.7197,145026
981,11.2099,210,12629.9296,145236
982,12.2812,161,12642.211,145397
983,11.8604,155,12654.0715,145552
984,11.6778,75,12665.7494,145627
985,11.5809,159,12677.3303,145786
986,10.9343,89,12688.2648,145875
987,11.6888,120,12699.9536,145995
988,11.8339,124,12711.7877,146119
989,11.2923,135,12723.08,146254
990,11.638,182,12734.7181,146436
991,11.3373,143,12746.0555,146579
992,11.6183,311,12757.6739,146890
993,11.1778,125,12768.8517,147015
994,11.1155,212,12779.9673,147227
995,12.0342,162,12792.0016,147389
996,10.9485,125,12802.9502,147514
997,12.1299,121,12815.0802,147635
998,11.2379,189,12826.3182,147824
999,11.4573,110,12837.7756,147934
1000,11.8698,161,12849.6455,148095
